,id,type,VL,VH,VN,VM,RED,Total
102,950691,L4,463.772,416.026,483.327,405.554,700.0,528.1131666666666
103,956159,L7,463.772,416.026,483.327,503.574,775.0,569.4498333333333
104,977730,L7,368.014,416.026,525.85,454.564,725.0,535.7423333333332
105,961306,L7,399.934,363.046,525.85,454.564,500.0,457.2323333333334
106,962993,L8,623.367,469.007,440.804,454.564,800.0,597.957
107,955458,L8,368.014,521.987,313.235,503.574,700.0,517.8016666666666
108,953589,AC,527.61,469.007,483.327,405.554,825.0,589.2496666666667
109,964120,AC,463.772,521.987,525.85,454.564,775.0,586.0288333333333
110,961798,AC,431.853,521.987,355.758,454.564,750.0,544.027
111,965152,AC,431.853,574.967,398.281,356.545,700.0,526.9409999999999
112,953636,AC,463.772,469.007,398.281,454.564,725.0,539.2706666666667
113,975684,AC,431.853,469.007,525.85,356.545,725.0,538.8758333333334
114,962419,AC,399.934,416.026,440.804,405.554,825.0,552.053
115,925290,AC,368.014,469.007,483.327,405.554,775.0,545.9836666666666
116,951587,AC,399.934,416.026,398.281,503.574,725.0,527.9691666666666
117,976315,AC,368.014,363.046,398.281,405.554,800.0,522.4825
118,965146,AC,431.853,574.967,440.804,356.545,475.0,459.02816666666666
119,943491,AC,431.853,416.026,440.804,405.554,100.0,315.70616666666666
120,908891,L1,527.61,627.947,483.327,503.574,825.0,632.0763333333333
121,918883,L1,495.691,416.026,355.758,356.545,100.0,304.00333333333333
122,972581,L3,399.934,416.026,440.804,454.564,475.0,443.5546666666667
123,967512,L4,463.772,416.026,440.804,503.574,750.0,554.0293333333333
124,979320,L7,463.772,521.987,398.281,405.554,675.0,523.2656666666667
125,910052,L7,368.014,310.066,398.281,503.574,800.0,529.9891666666666
126,913109,L8,431.853,416.026,398.281,503.574,775.0,549.9556666666667
127,974889,L8,336.095,416.026,483.327,405.554,800.0,540.167
128,943420,L8,399.934,416.026,398.281,454.564,725.0,519.8008333333333
129,980385,AC,559.529,521.987,525.85,601.593,775.0,626.4931666666666
130,971080,AC,368.014,521.987,440.804,454.564,775.0,555.8948333333333
131,970040,AC,495.691,521.987,355.758,405.554,700.0,529.8316666666666
132,951944,AC,655.287,627.947,568.373,650.602,725.0,658.7015
133,969030,AC,623.367,521.987,483.327,601.593,825.0,646.7123333333333
134,976019,AC,623.367,574.967,653.42,454.564,800.0,651.053
135,975774,AC,495.691,574.967,440.804,552.583,800.0,610.6741666666667
136,970722,AC,368.014,574.967,610.897,503.574,800.0,609.5753333333333
137,975165,AC,463.772,521.987,483.327,503.574,800.0,595.4433333333333
138,977798,AC,527.61,469.007,610.897,405.554,875.0,627.178
139,980520,AC,431.853,574.967,610.897,552.583,575.0,553.3833333333333
140,913977,AC,591.448,521.987,398.281,503.574,700.0,569.215
141,955388,AC,591.448,521.987,440.804,454.564,750.0,584.8004999999999
142,941004,AC,463.772,574.967,610.897,405.554,725.0,584.1983333333334
143,968943,AC,463.772,310.066,525.85,552.583,800.0,575.3785
144,953136,AC,463.772,469.007,483.327,454.564,800.0,578.445
149,975011,AC,431.853,469.007,483.327,454.564,775.0,564.7918333333333
150,969466,AC,463.772,469.007,440.804,454.564,750.0,554.6911666666666
151,957134,AC,463.772,521.987,398.281,454.564,700.0,539.7673333333333
152,972662,AC,431.853,469.007,398.281,405.554,825.0,559.1158333333334
153,971158,AC,399.934,469.007,398.281,454.564,700.0,520.2976666666667
154,912756,AC,431.853,416.026,483.327,454.564,675.0,522.6283333333334
155,961238,AC,399.934,469.007,440.804,405.554,725.0,527.5498333333334
156,955753,AC,431.853,521.987,525.85,356.545,675.0,531.0391666666667
157,978539,AC,431.853,416.026,440.804,405.554,725.0,524.0395
158,978911,AC,368.014,416.026,568.373,405.554,650.0,509.6611666666667
159,910850,AC,527.61,416.026,398.281,405.554,575.0,482.91183333333333
160,974804,AC,431.853,469.007,440.804,454.564,475.0,457.7046666666667
161,956277,AC,623.367,521.987,440.804,503.574,100.0,381.622
162,941502,L1,623.367,574.967,610.897,552.583,700.0,626.9689999999999
163,969535,L1,399.934,416.026,695.943,503.574,800.0,602.5794999999999
164,934155,L1,527.61,521.987,483.327,454.564,800.0,597.9146666666667
165,940878,L1,336.095,469.007,525.85,503.574,775.0,564.0876666666667
166,919050,L1,463.772,416.026,398.281,503.574,750.0,546.9421666666667
167,944971,L1,431.853,627.947,398.281,454.564,600.0,518.7741666666667
168,969542,L1,399.934,363.046,568.373,503.574,525.0,480.82116666666667
169,969361,L3,463.772,521.987,355.758,503.574,700.0,540.8485000000001
170,978844,L3,399.934,310.066,568.373,552.583,500.0,471.826
171,944845,L3,399.934,469.007,483.327,503.574,100.0,342.64033333333333
172,917325,L5,463.772,574.967,653.42,552.583,800.0,640.7903333333334
173,969840,L5,591.448,680.927,440.804,503.574,750.0,619.4588333333334
174,933447,L5,623.367,521.987,610.897,552.583,725.0,626.4723333333333
175,978970,L5,559.529,469.007,525.85,552.583,800.0,617.8281666666667
176,970307,L5,431.853,363.046,568.373,650.602,800.0,602.3123333333333
177,956459,L5,431.853,521.987,440.804,405.554,725.0,541.6996666666666
178,979552,L7,336.095,363.046,355.758,503.574,775.0,518.0788333333334
179,969695,AC,336.095,627.947,483.327,454.564,725.0,558.6555
180,923672,AC,527.61,574.967,398.281,601.593,650.0,567.0751666666666
181,960706,AC,463.772,469.007,398.281,552.583,750.0,563.9405
182,918774,AC,368.014,363.046,483.327,356.545,800.0,528.4886666666666
183,921474,AC,399.934,469.007,440.804,503.574,625.0,510.55316666666664
184,964750,L3,495.691,521.987,610.897,601.593,700.0,605.0279999999999
185,981246,AC,623.367,733.907,610.897,552.583,750.0,670.1256666666667
186,974899,AC,591.448,574.967,440.804,405.554,800.0,602.1288333333333
187,913452,AC,527.61,521.987,440.804,405.554,725.0,557.6591666666667
188,971303,AC,527.61,363.046,483.327,601.593,675.0,554.2626666666666
189,910366,AC,463.772,363.046,355.758,454.564,750.0,522.8566666666667
190,963123,AC,431.853,363.046,355.758,454.564,750.0,517.5368333333333
191,912204,AC,431.853,310.066,568.373,356.545,725.0,519.4728333333334
192,970633,AC,495.691,416.026,568.373,405.554,525.0,489.27400000000006
197,952020,L3,495.691,416.026,355.758,454.564,725.0,528.6731666666666
198,970664,L7,527.61,469.007,440.804,356.545,725.0,540.661
